0;12;15;18;37;41;45;47;51;55;65;69;70;72;73;75;77;82;84;87;88;89;92;97;101;102;106;111
SQL Queries Made Easy;Course;Updated;;;Show more options for SQL Queries Made Easy;;;Save;;;;1h 2m;;;;Beginner;Updated 1 week ago;;;;;;LinkedIn;;;By: Deepa Maddala;
Oracle Database 19c: Advanced SQL;Course;;;Show more options for Oracle Database 19c: Advanced SQL;;;Save;;;2h 3m;;;Advanced;;;Updated Feb 2024;;;;;;LinkedIn;;By: Bob Bryla;;;
Getting Started with SQL Server Ledger;Course;;;Show more options for Getting Started with SQL Server Ledger;;;Save;;;54m;;;Advanced;;;Apr 2023;;;;;;LinkedIn;;By: Adam Wilbert;;;
SQL Server 2016: Administer a Database Infrastructure;Course;;;Show more options for SQL Server 2016: Administer a Database Infrastructure;;;Save;;;5h 28m;;;Intermediate;;;Aug 2017;;;;;;LinkedIn;;By: Adam Wilbert;;;
Oracle Database 12c: Basic SQL;Course;;;Show more options for Oracle Database 12c: Basic SQL;;;Save;;;3h 12m;;;Beginner + Intermediate;;;Jan 2018;;;;;;LinkedIn;;By: David Yahalom;;;
MySQL Installation and Configuration;Course;;;Show more options for MySQL Installation and Configuration;;;Save;;;1h 20m;;;Intermediate;;;Mar 2024;;;;;;LinkedIn;;By: Bill Weinman;;;
Oracle Database 12c: Backup and Recovery;Course;;;Show more options for Oracle Database 12c: Backup and Recovery;;;Save;;;3h 44m;;;Intermediate;;;Oct 2017;;;;;;LinkedIn;;By: David Yahalom;;;
Learning Microsoft SQL Server 2019;Course;Updated;;;Show more options for Learning Microsoft SQL Server 2019;;;Save;;;;1h 27m;;;;Beginner;Updated 1 month ago;;;;;;LinkedIn;;;By: Adam Wilbert;
SQL Practice: Intermediate Queries;Course;Popular;;;Show more options for SQL Practice: Intermediate Queries;;;Save;;;;11m;;;;Intermediate;Sep 2023;;;;;;LinkedIn;;;By: Scott Simpson;
Oracle Database 19c: Multitenant Architecture;Course;;;Show more options for Oracle Database 19c: Multitenant Architecture;;;Save;;;1h 34m;;;Intermediate;;;Updated Feb 2024;;;;;;LinkedIn;;By: Bob Bryla;;;
SQL for Testers;Course;Popular;;;Show more options for SQL for Testers;;;Save;;;;1h 33m;;;;Beginner;Updated Feb 2024;;;;;;LinkedIn;;;By: Dave Westerveld;
SQL Server Machine Learning Services: Python;Course;;;Show more options for SQL Server Machine Learning Services: Python;;;Save;;;2h 31m;;;Advanced;;;Updated Dec 2023;;;;;;LinkedIn;;By: Adam Wilbert;;;
Oracle Database 19c: PL/SQL;Course;;;Show more options for Oracle Database 19c: PL/SQL;;;Save;;;1h 47m;;;Advanced;;;Updated Feb 2024;;;;;;LinkedIn;;By: Bob Bryla;;;
Oracle Database 19c: Basic SQL;Course;;;Show more options for Oracle Database 19c: Basic SQL;;;Save;;;3h 35m;;;Intermediate;;;Updated Dec 2023;;;;;;LinkedIn;;By: Bob Bryla;;;
Microsoft SQL Server 2019 Essential Training;Course;Popular;;;Show more options for Microsoft SQL Server 2019 Essential Training;;;Save;;;;4h 24m;;;;Beginner;Updated Dec 2023;;;;;;LinkedIn;;;By: Adam Wilbert;
Advanced SQL for Data Scientists;Course;;;Show more options for Advanced SQL for Data Scientists;;;Save;;;2h 30m;;;Advanced;;;May 2021;;;;;;LinkedIn;;By: Dan Sullivan;;;
Level Up: Advanced SQL;Course;Popular;;;Show more options for Level Up: Advanced SQL;;;Save;;;;37m;;;;Advanced;Mar 2023;;;;;;LinkedIn;;;By: Jess Pomfret;
SQL Server Management Enabled by Azure Arc;Course;;;Show more options for SQL Server Management Enabled by Azure Arc;;;Save;;;33m;;;Advanced;;;4 months ago;;;;;;LinkedIn;;By: Ben Weissman;;;
ChatGPT and SQL;Course;;;Show more options for ChatGPT and SQL;;;Save;;;1h 23m;;;Intermediate;;;4 months ago;;;;;;LinkedIn;;By: John Pauler and Maven Analytics;;;
Oracle Database 12c: Advanced SQL;Course;;;Show more options for Oracle Database 12c: Advanced SQL;;;Save;;;2h 36m;;;Intermediate;;;Mar 2018;;;;;;LinkedIn;;By: David Yahalom;;;
SQL Server Fundamentals: Master Basic Query Techniques;Course;Popular;;;Show more options for SQL Server Fundamentals: Master Basic Query Techniques;;;Save;;;;1h 30m;;;;Beginner;Updated Feb 2024;;;;;;LinkedIn;;;By: Julianne Thouin;
Introduction to Transact-SQL;Course;;;Show more options for Introduction to Transact-SQL;;;Save;;;1h 3m;;;Beginner;;;Oct 2023;;;;;;LinkedIn;;By: Jess Pomfret;;;
Complete Guide to Advanced SQL Server;Course;;;Show more options for Complete Guide to Advanced SQL Server;;;Save;;;8h 27m;;;Advanced;;;2 months ago;;;;;;LinkedIn;;By: Adam Wilbert;;;
Implementing a Data Warehouse with SQL Server 2022;Course;;;Show more options for Implementing a Data Warehouse with SQL Server 2022;;;Save;;;2h 36m;;;Intermediate;;;Jan 2023;;;;;;LinkedIn;;By: Adam Wilbert;;;
Microsoft SQL Server 2016 Essential Training;Course;;;Show more options for Microsoft SQL Server 2016 Essential Training;;;Save;;;3h 18m;;;Beginner + Intermediate;;;Nov 2016;;;;;;LinkedIn;;By: Martin Guidry;;;
Developing Microsoft SQL Server 2016 Databases;Course;;;Show more options for Developing Microsoft SQL Server 2016 Databases;;;Save;;;4h 5m;;;Advanced;;;Dec 2016;;;;;;LinkedIn;;By: Adam Wilbert;;;
Complete Your First Project in SQL;Course;;;Show more options for Complete Your First Project in SQL;;;Save;;;1h 17m;;;Intermediate;;;Mar 2024;;;;;;LinkedIn;;By: Megan Silvey;;;
SQL for Finance Professionals;Course;Updated;Popular;;;Show more options for SQL for Finance Professionals;;;Save;;;;;;1h 6m;;Beginner;;Updated 1 month ago;;;;;;LinkedIn;;By: Megan Lieu
SQL for Statistics Essential Training;Course;;;Show more options for SQL for Statistics Essential Training;;;Save;;;49m;;;Intermediate;;;Mar 2018;;;;;;LinkedIn;;By: Dan Sullivan;;;
Querying Microsoft SQL Server 2019;Course;;;Show more options for Querying Microsoft SQL Server 2019;;;Save;;;2h 41m;;;Intermediate;;;Nov 2019;;;;;;LinkedIn;;By: Adam Wilbert;;;
SQL for Data Analysis;Course;Popular;;;Show more options for SQL for Data Analysis;;;Save;;;;1h 10m;;;;Intermediate;Jul 2023;;;;;;LinkedIn;;;By: Nikiya Simpson;
Hands-On Data Science using SQL, Tableau, Python, and Spark;Course;Popular;;;Show more options for Hands-On Data Science using SQL, Tableau, Python, and Spark;;;Save;;;;1h 13m;;;;Intermediate;Mar 2024;;;;;;LinkedIn;;;By: Ben Sullins and Free the Data Academy;
Advanced SQL for Application Development;Course;;;Show more options for Advanced SQL for Application Development;;;Save;;;2h 7m;;;Advanced;;;Updated Apr 2024;;;;;;LinkedIn;;By: Dan Sullivan;;;
Advanced SQL for Query Tuning and Performance Optimization;Course;Popular;;;Show more options for Advanced SQL for Query Tuning and Performance Optimization;;;Save;;;;2h 9m;;;;Advanced;Oct 2023;;;;;;LinkedIn;;;By: Dan Sullivan;
SQL Server Performance for Developers;Course;;;Show more options for SQL Server Performance for Developers;;;Save;;;3h 44m;;;Beginner + Intermediate;;;Apr 2018;;;;;;LinkedIn;;By: Joey D'Antoni;;;
SQL for Exploratory Data Analysis Essential Training;Course;;;Show more options for SQL for Exploratory Data Analysis Essential Training;;;Save;;;44m;;;Beginner;;;Jun 2018;;;;;;LinkedIn;;By: Dan Sullivan;;;
SQL: Data Reporting and Analysis;Course;Popular;;;Show more options for SQL: Data Reporting and Analysis;;;Save;;;;2h 32m;;;;Intermediate;Jul 2022;;;;;;LinkedIn;;;By: Emma Saunders;
SQL Server 2008 Essential Training;Course;;;Show more options for SQL Server 2008 Essential Training;;;Save;;;6h 54m;;;Beginner + Intermediate;;;Dec 2010;;;;;;LinkedIn;;By: Simon Allardice;;;
Implementing a Data Warehouse SQL Server 2019;Course;;;Show more options for Implementing a Data Warehouse SQL Server 2019;;;Save;;;2h 7m;;;Intermediate;;;Oct 2019;;;;;;LinkedIn;;By: Adam Wilbert;;;
Introduction to Spark SQL and DataFrames;Course;;;Show more options for Introduction to Spark SQL and DataFrames;;;Save;;;1h 54m;;;Intermediate;;;Updated Apr 2024;;;;;;LinkedIn;;By: Dan Sullivan;;;
Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 5 Maintain an Azure Cosmos DB Solution by Microsoft Press;Course;Updated;;;Show more options for Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 5 Maintain an Azure Cosmos DB Solution by Microsoft Press;;;Save;;;;2h 11m;;;;Advanced;Updated 1 month ago;;;;;;LinkedIn;;;By: Microsoft Press and Tim Warner;
