0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 4 Monitor and Optimize Data Storage and Data Processing by Microsoft Press;Course;;;Show more options for Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 4 Monitor and Optimize Data Storage and Data Processing by Microsoft Press;;;Save;;;1h 9m;;Intermediate;;;Aug 2023;;;;;LinkedIn;;By: Microsoft Press and Tim Warner;;;
Google Cloud Professional Data Engineer Cert Prep: 2 Building and Operationalizing Data Processing Systems;Course;;;Show more options for Google Cloud Professional Data Engineer Cert Prep: 2 Building and Operationalizing Data Processing Systems;;;Save;;;50m;;Advanced;;;Jul 2023;;;;;LinkedIn;;By: Noah Gift;;;
Learning Data Science: Manage Your Team;Course;;;Show more options for Learning Data Science: Manage Your Team;;;Save;;;1h 14m;;Intermediate;;;Nov 2016;;;;;LinkedIn;;By: Doug Rose;;;
Moving from Data Analyst to Data Scientist;Learning Path;;;Show more options for Moving from Data Analyst to Data Scientist;;;Save;;;29h;;;Updated Apr 2024;;;;;LinkedIn;;;;;;;
Learning Microsoft Fabric: A Data Analytics and Engineering Preview;Course;;;Show more options for Learning Microsoft Fabric: A Data Analytics and Engineering Preview;;;Save;;;1h 27m;;Intermediate;;;Sep 2023;;;;;LinkedIn;;By: Helen Wall and Gini von Courter;;;
Develop Your Rust Skills for Data Engineering;Learning Path;;;Show more options for Develop Your Rust Skills for Data Engineering;;;Save;;;21h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
Data Engineering: dbt for SQL;Course;;;Show more options for Data Engineering: dbt for SQL;;;Save;;;1h 31m;;Advanced;;;Sep 2023;;;;;LinkedIn;;By: Vinoo Ganesh;;;
Programming Foundations: Data Structures;Course;Popular;;;Show more options for Programming Foundations: Data Structures;;;Save;;;1h 49m;;;;Beginner;Updated Apr 2024;;;;;LinkedIn;;;By: Kathryn Hodge;
ETL and ELT in PostgreSQL;Course;;;Show more options for ETL and ELT in PostgreSQL;;;Save;;;38m;;Beginner;;;Sep 2022;;;;;LinkedIn;;By: Sarah Conway Schnurr;;;
Google Cloud Professional Data Engineer Cert Prep: 4 Ensuring Solution Quality;Course;;;Show more options for Google Cloud Professional Data Engineer Cert Prep: 4 Ensuring Solution Quality;;;Save;;;1h 6m;;Advanced;;;Jul 2023;;;;;LinkedIn;;By: Noah Gift;;;
Processing Text with Python Essential Training;Course;;;Show more options for Processing Text with Python Essential Training;;;Save;;;33m;;Intermediate;;;Jun 2019;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Introduction to Spark SQL and DataFrames;Course;;;Show more options for Introduction to Spark SQL and DataFrames;;;Save;;;1h 54m;;Intermediate;;;Updated Apr 2024;;;;;LinkedIn;;By: Dan Sullivan;;;
Analyzing Big Data with Hive;Course;;;Show more options for Analyzing Big Data with Hive;;;Save;;;1h 53m;;Intermediate;;;Jan 2017;;;;;LinkedIn;;By: Ben Sullins;;;
Google Cloud Professional Data Engineer Cert Prep: 3 Operationalizing Machine Learning Models;Course;;;Show more options for Google Cloud Professional Data Engineer Cert Prep: 3 Operationalizing Machine Learning Models;;;Save;;;58m;;Advanced;;;Jul 2023;;;;;LinkedIn;;By: Noah Gift;;;
Learning Public Data Sets;Course;;;Show more options for Learning Public Data Sets;;;Save;;;2h 1m;;Beginner + Intermediate;;;Updated Jan 2024;;;;;LinkedIn;;By: Curt Frye;;;
Moving from Data Scientist to Data Analyst;Learning Path;;;Show more options for Moving from Data Scientist to Data Analyst;;;Save;;;21h;;;Updated 3 months ago;;;;;LinkedIn;;;;;;;
Cloud Hadoop: Scaling Apache Spark;Course;;;Show more options for Cloud Hadoop: Scaling Apache Spark;;;Save;;;3h 13m;;Beginner + Intermediate;;;Apr 2020;;;;;LinkedIn;;By: Lynn Langit;;;
Twelve Myths about Data Science;Course;;;Show more options for Twelve Myths about Data Science;;;Save;;;42m;;Beginner + Intermediate;;;4 months ago;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Learning Elastic Stack;Course;;;Show more options for Learning Elastic Stack;;;Save;;;1h 55m;;Beginner;;;Apr 2024;;;;;LinkedIn;;By: Josh Samuelson;;;
Apache Kafka Essential Training: Building Scalable Applications;Course;Popular;;;Show more options for Apache Kafka Essential Training: Building Scalable Applications;;;Save;;;1h 18m;;;;Advanced;Jul 2023;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Databricks Certified Data Engineer Associate Cert Prep: 2 ELT with Spark SQL and Python;Course;;;Show more options for Databricks Certified Data Engineer Associate Cert Prep: 2 ELT with Spark SQL and Python;;;Save;;;28m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Noah Gift;;;
Learning the Elastic Stack (2020);Course;;;Show more options for Learning the Elastic Stack (2020);;;Save;;;1h 50m;;Beginner;;;Oct 2020;;;;;LinkedIn;;By: Josh Samuelson;;;
Databricks Certified Data Engineer Associate Cert Prep: 5 Data Governance;Course;;;Show more options for Databricks Certified Data Engineer Associate Cert Prep: 5 Data Governance;;;Save;;;22m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Noah Gift;;;
Using Large Datasets with pandas;Course;;;Show more options for Using Large Datasets with pandas;;;Save;;;36m;;Intermediate;;;Feb 2024;;;;;LinkedIn;;By: Miki Tebeka;;;
End-to-End Real-World Data Engineering Project with Snowflake;Course;New;;;Show more options for End-to-End Real-World Data Engineering Project with Snowflake;;;Save;;;1h 36m;;;;Intermediate;1 week ago;;;;;LinkedIn;;;By: Deepak Goyal;
Hadoop for Data Science Tips, Tricks, & Techniques;Course;;;"Show more options for Hadoop for Data Science Tips, Tricks, &amp;amp; Techniques";;;Save;;;1h 12m;;Intermediate;;;Jul 2017;;;;;LinkedIn;;By: Ben Sullins;;;
Twelve Myths About Data Science (2017);Course;;;Show more options for Twelve Myths About Data Science (2017);;;Save;;;36m;;Beginner + Intermediate;;;Jan 2017;;;;;LinkedIn;;By: Ben Sullins;;;
Automating Data Quality in Dev Environments;Course;;;Show more options for Automating Data Quality in Dev Environments;;;Save;;;1h 4m;;Advanced;;;2 months ago;;;;;LinkedIn;;By: Lauren Maffeo;;;
AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 1 Data Engineering;Course;;;Show more options for AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 1 Data Engineering;;;Save;;;1h 29m;;Intermediate;;;Feb 2023;;;;;LinkedIn;;By: Noah Gift;;;
Data Ingestion with Python;Course;;;Show more options for Data Ingestion with Python;;;Save;;;1h 24m;;Intermediate;;;Updated Dec 2023;;;;;LinkedIn;;By: Miki Tebeka;;;
Java: Data Structures;Course;;;Show more options for Java: Data Structures;;;Save;;;49m;;Intermediate;;;Updated 3 months ago;;;;;LinkedIn;;By: Bethan Palmer;;;
Practical Database Design: Implementing Responsible Data Solutions with SQL Querying;Course;;;Show more options for Practical Database Design: Implementing Responsible Data Solutions with SQL Querying;;;Save;;;2h 15m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Dr. Brandeis Marshall;;;
Azure Data Factory;Course;;;Show more options for Azure Data Factory;;;Save;;;43m;;Beginner;;;Jan 2023;;;;;LinkedIn;;By: Karsten Ulferts;;;
Databricks Certified Data Engineer Associate Cert Prep: 1 Databricks Lakehouse Platform;Course;;;Show more options for Databricks Certified Data Engineer Associate Cert Prep: 1 Databricks Lakehouse Platform;;;Save;;;23m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Noah Gift;;;
Learning Apache Airflow;Course;Popular;;;Show more options for Learning Apache Airflow;;;Save;;;2h 10m;;;;Advanced;Jul 2023;;;;;LinkedIn;;;By: Janani Ravi;
Data Warehousing on Google Cloud Platform;Course;;;Show more options for Data Warehousing on Google Cloud Platform;;;Save;;;1h 17m;;Intermediate;;;1 month ago;;;;;LinkedIn;;By: Nikiya Simpson;;;
Learning Hadoop;Course;;;Show more options for Learning Hadoop;;;Save;;;1h 53m;;Intermediate;;;Oct 2023;;;;;LinkedIn;;By: Lynn Langit;;;
Databricks Certified Data Engineer Associate Cert Prep: 4 Production Pipelines;Course;;;Show more options for Databricks Certified Data Engineer Associate Cert Prep: 4 Production Pipelines;;;Save;;;19m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Noah Gift;;;
Data Pipeline Automation with GitHub Actions Using R and Python;Course;;;Show more options for Data Pipeline Automation with GitHub Actions Using R and Python;;;Save;;;2h 12m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Rami Krispin;;;
Apache Airflow Essential Training;Course;;;Show more options for Apache Airflow Essential Training;;;Save;;;2h 14m;;Intermediate;;;Aug 2023;;;;;LinkedIn;;By: Janani Ravi;;;
Data Cleaning and Manipulating with Python in Excel;Course;New;;;Show more options for Data Cleaning and Manipulating with Python in Excel;;;Save;;;1h 53m;;;;Intermediate;4 days ago;;;;;LinkedIn;;;By: Chris French;
Following the Digital Thread;Course;;;Show more options for Following the Digital Thread;;;Save;;;58m;;General;;;Nov 2019;;;;;LinkedIn;;By: Deloitte Insights;;;
Manage and Optimize Big Data with Apache Iceberg;Course;;;Show more options for Manage and Optimize Big Data with Apache Iceberg;;;Save;;;1h 23m;;Intermediate;;;1 month ago;;;;;LinkedIn;;By: Deepak Goyal;;;
C++ Design Patterns: Structural;Course;;;Show more options for C++ Design Patterns: Structural;;;Save;;;1h 47m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Károly Nyisztor;;;
Python Data Structures: Linked Lists;Course;;;Show more options for Python Data Structures: Linked Lists;;;Save;;;1h 2m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Ryan Mitchell;;;
Machine Learning with Data Reduction in Excel, R, and Power BI;Course;;;Show more options for Machine Learning with Data Reduction in Excel, R, and Power BI;;;Save;;;3h 32m;;Intermediate;;;Feb 2022;;;;;LinkedIn;;By: Helen Wall;;;
Microsoft Azure AI Fundamentals (AI-900) Exam Tips;Course;;;Show more options for Microsoft Azure AI Fundamentals (AI-900) Exam Tips;;;Save;;;1h 26m;;Intermediate;;;Oct 2020;;;;;LinkedIn;;By: Emilio Melo;;;
Probability Foundations for Data Science;Course;Popular;;;Show more options for Probability Foundations for Data Science;;;Save;;;4h 53m;;;;Intermediate;1 month ago;;;;;LinkedIn;;;By: Megan Silvey;
DJ Patil: Ask Me Anything;Course;;;Show more options for DJ Patil: Ask Me Anything;;;Save;;;4h 3m;;General;;;Updated Sep 2019;;;;;LinkedIn;;By: DJ Patil;;;
Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 2 Design and Develop Data Processing by Microsoft Press;Course;;;Show more options for Microsoft Azure Data Engineer Associate (DP-203) Cert Prep: 2 Design and Develop Data Processing by Microsoft Press;;;Save;;;3h 53m;;Intermediate;;;Aug 2023;;;;;LinkedIn;;By: Microsoft Press and Tim Warner;;;
Python Data Structures: Stacks, Deques, and Queues;Course;;;Show more options for Python Data Structures: Stacks, Deques, and Queues;;;Save;;;35m;;Advanced;;;Updated Mar 2024;;;;;LinkedIn;;By: Dhhyey Desai;;;
Learning Splunk;Course;Popular;;;Show more options for Learning Splunk;;;Save;;;1h 46m;;;;Beginner;Apr 2023;;;;;LinkedIn;;;By: Josh Samuelson;
Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;;;Save;;;1h;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Noah Gift;;;
Data Platforms: Spark to Snowflake;Course;New;;;Show more options for Data Platforms: Spark to Snowflake;;;Save;;;54m;;;;Beginner;2 weeks ago;;;;;LinkedIn;;;By: Kennedy Behrman and Pragmatic AI Labs;
Azure Data Engineer Associate (DP-203) Cert Prep: 4 Monitor and Optimize Data Storage and Data Processing;Course;;;Show more options for Azure Data Engineer Associate (DP-203) Cert Prep: 4 Monitor and Optimize Data Storage and Data Processing;;;Save;;;34m;;Intermediate;;;Dec 2022;;;;;LinkedIn;;By: Noah Gift;;;
