0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Intermediate SQL for Data Scientists;Course;Popular;;;Show more options for Intermediate SQL for Data Scientists;;;Save;;;2h 38m;;;;Intermediate;Jul 2021;;;;;LinkedIn;;;By: Dan Sullivan;
Installing Apache, MySQL, and PHP;Course;;;Show more options for Installing Apache, MySQL, and PHP;;;Save;;;1h 52m;;Beginner;;;Jan 2020;;;;;LinkedIn;;By: David Gassner;;;
Level Up: Advanced SQL;Course;Popular;;;Show more options for Level Up: Advanced SQL;;;Save;;;37m;;;;Advanced;Mar 2023;;;;;LinkedIn;;;By: Jess Pomfret;
Choosing a Database: PostgreSQL, MySQL, Mongo, and Cloud;Course;;;Show more options for Choosing a Database: PostgreSQL, MySQL, Mongo, and Cloud;;;Save;;;1h 18m;;Intermediate;;;Updated 4 months ago;;;;;LinkedIn;;By: Amataverna Lee;;;
Vector Databases in Practice: Deep Dive;Course;;;Show more options for Vector Databases in Practice: Deep Dive;;;Save;;;1h 50m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Joon-Pil Hwang;;;
Oracle Database 12c: Basic SQL;Course;;;Show more options for Oracle Database 12c: Basic SQL;;;Save;;;3h 12m;;Beginner + Intermediate;;;Jan 2018;;;;;LinkedIn;;By: David Yahalom;;;
From Excel to SQL;Course;;;Show more options for From Excel to SQL;;;Save;;;1h 24m;;Beginner;;;Feb 2021;;;;;LinkedIn;;By: Madecraft and James Parkin;;;
Oracle Database 19c: Basic SQL;Course;;;Show more options for Oracle Database 19c: Basic SQL;;;Save;;;3h 35m;;Intermediate;;;Updated Dec 2023;;;;;LinkedIn;;By: Bob Bryla;;;
MySQL Advanced Topics;Course;;;Show more options for MySQL Advanced Topics;;;Save;;;1h 10m;;Advanced;;;Mar 2024;;;;;LinkedIn;;By: Bill Weinman;;;
Building an Application with Svelte and Firebase;Course;;;Show more options for Building an Application with Svelte and Firebase;;;Save;;;1h 29m;;Intermediate;;;Dec 2022;;;;;LinkedIn;;By: Ayodele Aransiola;;;
SQL Practice: Intermediate Queries;Course;Popular;;;Show more options for SQL Practice: Intermediate Queries;;;Save;;;11m;;;;Intermediate;Sep 2023;;;;;LinkedIn;;;By: Scott Simpson;
Master SQL Development;Learning Path;;;Show more options for Master SQL Development;;;Save;;;14h;;;Updated 2 weeks ago;;;;;LinkedIn;;;;;;;
