0;1;2;3;4;5
Database-Administration;SQL Hands-On Practice: Solve Business Problems;2023-09-14;18666;Practice solving real business problems in SQL in this hands-on, interactive course with coding challenges in CoderPad.;['SQL']
Database-Administration;Advanced SQL: Logical Query Processing, Part 2;2020-09-21;18633;Take your SQL skills to the next level. Continue learning about aspects of logical query processing: from subqueries to ordered set functions, and from lateral joins to cursors.;['SQL']
Database-Administration;Azure Database Administrator Associate (DP-300) Cert Prep: 2 Azure Data Optimization and Automation;2021-11-03;4534;Learn the skills to help you pass the Azure and SQL Server components of the Microsoft DP-300 certification exam.;['Database Administration', 'Microsoft Azure']
Database-Administration;Complete Guide to AI and Data Science for SQL Developers: From Beginner to Advanced;2024-01-04;6612;Learn how to use SQL for AI and data science. Practice what you learn with Codespaces and a capstone project.;['Applied Machine Learning', 'SQL', 'Artificial Intelligence (AI)']
Database-Administration;SQL Queries Made Easy;2021-01-25;57088;Get up and running with database tables using SQL. This course helps beginners not only learn key concepts, but also practice working on real-world business scenarios.;['SQL', 'Database Queries']
Database-Administration;Database Foundations: Administration;2021-03-15;18990;Discover the most current techniques and best practices for securing, backing up, and restoring databases.;['Database Administration']
Database-Administration;Automating SQL Server with dbatools;2022-11-03;2099;Discover practical strategies for using dbatools to manage and automate your SQL Server estate.;['Server Automation', 'Microsoft SQL Server']
Database-Administration;Advanced SQL Project: Design and Manage a Database;2024-08-20;0;Learn how to design and manage databases using ETL processes and SQL. Discover how to conceptualize, normalize, and optimize databases, develop robust data pipelines, and more.;['SQL', 'Extract, Transform, Load (ETL)', 'Database Design']
Database-Administration;Complete Guide to Advanced SQL Server;2024-08-06;0;Master advanced SQL Server skills in this hands-on, interactive course. Practice your new programming skills in a final capstone project based on a real-world database.;['Database Triggers', 'Microsoft SQL Server', 'Python (Programming Language)']
Database-Administration;Oracle Database 19c: Multitenant Architecture;2021-08-19;6767;This course teaches database administrators to create and effectively utilize resources within multitenant databases.;['Oracle Database', 'Data Architecture']
Database-Administration;MySQL Database Administration;2024-09-26;0;Learn how to build, optimize, and administer relational databases using MySQL and MySQL Workbench.;['MySQL', 'Database Administration']
Database-Administration;Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services;2021-12-03;4195;Learn about high availability and disaster recovery in Azure Data Services as you prepare for the Microsoft DP-300 certification exam.;['Disaster Recovery', 'Database Administration', 'Microsoft Azure']
Database-Administration;DBeaver Essential Training;2021-08-03;8016;Learn the basics of using the popular DBeaver universal database client. This course focuses on the DBeaver application, not on database development or writing SQL queries.;['DBeaver']
Database-Administration;ETL in Python and SQL;2024-03-06;50999;Gain the knowledge you need to build data pipelines in a data-driven world.;['SQL', 'Extract, Transform, Load (ETL)', 'Python (Programming Language)']
Database-Administration;SQL Server Data Tools for Visual Studio;2021-11-17;5362;Learn how to use the SQL Server Data Tools and perform your database actions without leaving Visual Studio.;['Microsoft SQL Server', 'Visual Studio']
Database-Administration;Getting Started with SQL Server Ledger;2023-04-13;1116;Learn how to work with Ledger, a new feature in SQL Server 2022 that protects database integrity by recording cryptographic hashes and auditing modifications.;['Microsoft SQL Server']
Database-Administration;Learning Microsoft SQL Server 2019;2019-04-18;35016;Get a quick introduction to SQL Server 2019. This course was designed to help brand-new users quickly get up and running with this professional-grade database management system.;['Microsoft SQL Server']
Database-Administration;SQL Server Intelligence: Cracking the Code of Enterprise Data;2022-06-15;12483;Discover the top five skills to know in Microsoft SQL Server to manage data-driven insights more efficiently for your business.;['SQL']
Database-Administration;SQL Practice: Basic Queries;2023-09-13;29576;Practice writing basic queries in SQL in this hands-on, interactive course with coding challenges in CoderPad.;['SQL']
Database-Administration;Learning Microsoft SQL Server 2022;2023-01-04;13388;Get an overview of how Microsoft SQL Server 2022 works, so that you can dig into its powerful capabilities.;['Microsoft SQL Server']
Database-Administration;SQL: Data Reporting and Analysis;2022-07-19;145638;Get the data you need for analysis and reporting by writing your own SQL code. Learn how to write basic SQL queries, sort and filter data, and join results from different tables.;['SQL', 'Data Analysis']
Database-Administration;SQL Server Database Triggers;2020-08-25;46504;Learn how to use SQL Server database triggers to automate routine tasks and facilitate a more consistent, reliable, and predictable system.;['Database Triggers', 'Microsoft SQL Server']
Database-Administration;Advanced SQL for Query Tuning and Performance Optimization;2023-10-11;8173;Learn how to analyze query execution plans and use data modeling strategies to boost query performance.;['SQL']
Database-Administration;SQL Essential Training;2023-02-07;307562;Prepare for the data-driven future by learning how to manage relational databases with SQL.;['SQL']
Database-Administration;Introduction to Transact-SQL;2023-10-11;5199;Get an introduction to Transact-SQL (T-SQL), a Microsoft-specific extension of SQL.;['SQL', 'Transact-SQL (T-SQL)']
Database-Administration;SQL Server 2008 Essential Training;2010-12-15;38873;Explores all the major features of SQL Server 2008, beginning with core concepts.;['Microsoft SQL Server']
Database-Administration;Microsoft SQL Server 2022 Essential Training;2022-09-30;47766;Get an introduction to creating relational databases with SQL Server and the graphical interface, SQL Server Management Studio.;['Microsoft SQL Server']
Database-Administration;Oracle Database 12c: Administration;2016-11-09;41902;Oracle 12c is the leading relational database management system. Learn the fundamentals for installation, configuration, and administration of an Oracle database.;['Oracle Database']
Database-Administration;ChatGPT and SQL;2024-06-05;4909;This beginner-friendly course helps you leverage SQL and ChatGPT together to work more efficiently and make smarter, data-driven decisions.;['ChatGPT', 'SQL']
Database-Administration;Querying Microsoft SQL Server 2019;2019-11-14;41170;Learn how to retrieve information stored in a Microsoft SQL Server database using the Transact-SQL (T-SQL) language.;['Microsoft SQL Server']
Database-Administration;Level Up: Advanced SQL;2023-03-16;55998;Take your SQL skills to the next level in this interactive, advanced coding course.;['SQL', 'Database Queries']
Database-Administration;SQL Server Machine Learning Services: Python;2020-03-10;224697;Learn how to analyze SQL Server data with Python. Discover how to perform statistical analyses, generate graphics, and process tabular data—directly in SQL Server.;['Machine Learning', 'Microsoft SQL Server', 'Python (Programming Language)']
Database-Administration;Oracle Database 19c: Advanced SQL;2021-02-18;32108;In this course, Bob Bryla covers the advanced features of Oracle SQL in an Oracle 19c Database environment.;['Oracle Database', 'SQL']
Database-Administration;Top Five Things to Know in Advanced SQL;2023-08-24;9215;Learn advanced SQL concepts and practice them with hands-on exercises.;['SQL']
Database-Administration;Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 5 Maintain an Azure Cosmos DB Solution by Microsoft Press;2023-05-09;1245;Learn the skills you need to master to tackle the fifth domain of the Microsoft Azure Cosmos DB Developer Specialty (DP-420) certification exam.;['Azure Cosmos DB', 'Database Administration', 'Microsoft Azure']
Database-Administration;SQL Server 2022 Administration;2023-06-02;7569;Explore the skills and tools required to manage SQL Server 2022, the latest release of the relational database management system developed by Microsoft.;['Microsoft SQL Server']
Database-Administration;Oracle Database 19c: PL/SQL;2020-10-09;50359;Learn about the major features of Oracle PL/SQL, the programming language included with Oracle Database 19c.;['PL/SQL', 'Oracle Database']
Database-Administration;Practical Database Design: Implementing Responsible Data Solutions with SQL Querying;2024-06-25;2047;Learn the fundamental concepts underlying database system design, including applications using databases and the implementation techniques used in database systems.;['SQL', 'Data Management', 'Database Systems', 'Database Design']
Database-Administration;SQL for Non-Programmers;2024-01-18;20011;Practice using basic SQL Data Query Language commands in this course designed for non-programmers and non-data science professionals.;['SQL']
Database-Administration;Introduction to Spark SQL and DataFrames;2019-05-30;48774;Learn about DataFrames, a widely used data structure in Apache Spark. Discover how to manipulate and analyze distributed data with the DataFrames API and SQL.;['Apache Spark', 'SQL']
Database-Administration;Hands-On Introduction: SQL;2022-11-09;23875;Get the tools, techniques, and know-how to write SQL queries through hands-on lessons where you’ll code along with the instructor.;['SQL']
Database-Administration;Microsoft SQL Server 2016: Query Data;2017-01-30;35656;Discover how to query tables in Microsoft SQL Server 2016. Learn how to use SELECT statements, filter, group, and sort results, and more.;['Microsoft SQL Server']
Database-Administration;PowerShell for SQL Server Administration;2019-06-21;14978;Manage multiple machines at once using PowerShell. Learn how to use PowerShell to create objects, populate and delete data from tables, remote to other servers, and more.;['Powershell', 'Microsoft SQL Server']
Database-Administration;Microsoft SQL Server 2016 Essential Training;2016-11-16;54581;"Learn about SQL Server 2016. Find out how to build new databases, tables, and queries; back up and restore SQL Server; and integrate with cloud services like Microsoft Azure.";['Microsoft SQL Server']
Database-Administration;Finding New Career Paths with SQL;2021-10-25;12453;Learn how to use your existing SQL knowledge to find new career paths.;['Tech Career Skills', 'SQL', 'Career Path Planning']
Database-Administration;Nano Tips for Acing Your SQL Interview with Nick Singh;2023-10-05;4562;Get quick, bite-sized tips on how to ace your SQL interview. Each video is less than two minutes long, so you can make learning fit into even your busiest days.;['Interview Preparation', 'SQL']
Database-Administration;SQL Weekly Tips;2022-08-01;8628;Get great tips on using SQL as a data professional. These quick lessons easily fit within your lunch break!;['SQL']
Database-Administration;Designing Database Solutions for SQL Server 2016;2017-02-23;33712;Build on your knowledge of SQL Server 2016 by learning advanced concepts that help you design elegant database solutions for your organization.;['Microsoft SQL Server', 'Database Design']
Database-Administration;Complete Your First Project in SQL;2024-03-18;9567;Elevate your SQL skills and gain a new perspective of how to maximize SQL.;['SQL']
Database-Administration;SQL for Exploratory Data Analysis Essential Training;2018-06-07;57677;Learn how to use SQL to understand the characteristics of data sets destined for data science and machine learning.;['SQL', 'Data Analysis']
