0;1;2;3;4;5
Natural-Language-Processing-nlp;Building a Personalized Chatbot with OpenAI and LangChain;2024-06-21;18775;Learn how to build a fully personalized chatbot with LangChain and OpenAI.;['LangChain', 'OpenAI Products', 'Chatbot Development']
Natural-Language-Processing-nlp;Rust LLMOps;2024-07-11;0;Learn about the Rust language, with a strong focus on ways you can apply it in MLOps.;['Large Language Model Operations (LLMOps)', 'Large Language Models (LLM)', 'Rust (Programming Language)']
Natural-Language-Processing-nlp;Fine-Tuning for LLMs: from Beginner to Advanced;2024-09-03;5760;Gain the expertise you need in Large Language Models (LLMs), a rapidly evolving field in AI, including hands-on practice.;['Large Language Models (LLM)', 'Generative AI', 'Fine Tuning']
Natural-Language-Processing-nlp;Introduction to LLM Vulnerabilities;2024-09-16;0;Unlock the knowledge you need to safeguard your AI projects in an increasingly complex digital landscape.;['Large Language Models (LLM)', 'Threat & Vulnerability Management']
Natural-Language-Processing-nlp;Small Language Models and LlamaFile;2024-07-02;0;Explore small language models, their advantages, and how to run them locally.;['LLaMA', 'Large Language Models (LLM)', 'Natural Language Processing (NLP)']
Natural-Language-Processing-nlp;Building a React Project with Google Bard and the PalM2 API;2023-09-01;23277;Learn how to create an application that uses the PaLM2 API to create your own personal chatbot.;['Chatbot Development']
Natural-Language-Processing-nlp;Natural Language Processing for Speech and Text: From Beginner to Advanced;2024-10-03;0;Learn through hands-on exercises how to balance theoretical and practical aspects of natural language processing. This course covers both text and speech data.;['Natural Language Processing (NLP)']
Natural-Language-Processing-nlp;RAG and Fine-Tuning Explained;2024-06-25;8196;This course breaks down the AI concepts Retrieval Augmented Generation (RAG) and fine-tuning to explain how they factor into building robust enterprise applications.;['AI Software Development', 'Retrieval-Augmented Generation (RAG)', 'Generative AI']
Natural-Language-Processing-nlp;Prompt Engineering with LangChain;2024-04-18;4671;Learn the foundations of LangChain, a powerful framework for large language model applications.;['LangChain', 'Prompt Engineering']
Natural-Language-Processing-nlp;Developing Chatbots with Azure;2021-01-28;9349;"Chatbots are quickly trending to be the ""new app"" in the world of development. Stay ahead of the curve by learning to develop chatbots with Azure.";['Chatbot Development', 'Cloud Development', 'Microsoft Azure']
Natural-Language-Processing-nlp;Deep Learning Foundations: Natural Language Processing with TensorFlow;2021-04-19;25984;Learn foundational deep learning techniques to classify, predict, and generate text using different neural networks.;['Natural Language Processing (NLP)', 'TensorFlow', 'Deep Learning']
Natural-Language-Processing-nlp;Building Bots with Node.js;2019-10-16;10385;Build your own bots. Discover how to leverage Node.js and natural language processing services such as Google Dialogflow and Alexa Skills Kit to build voice and text chatbots.;['Natural Language Processing (NLP)', 'Node.js']
Natural-Language-Processing-nlp;Introduction to AI Orchestration with LangChain and LlamaIndex;2024-02-16;2999;Learn how to rapidly build future-proof generative AI apps, locally or in the cloud, using AI orchestration frameworks like LangChain and LlamaIndex.;['LLaMA', 'LangChain', 'Large Language Models (LLM)', 'Artificial Intelligence (AI)']
Natural-Language-Processing-nlp;Build Your Own GPTs;2024-02-20;76833;Master building products with OpenAI GPTs using just English. No coding skills required—turn your ideas into reality.;['Chatbot Development']
Natural-Language-Processing-nlp;Applied AI: Building NLP Apps with Hugging Face Transformers;2023-02-02;10283;Learn how to build natural language processing (NLP) applications with pretrained transformers in Hugging Face, the popular machine learning platform.;['Natural Language Processing (NLP)', 'Applied Machine Learning']
Natural-Language-Processing-nlp;Hands-On AI: RAG using LlamaIndex;2024-08-02;1548;Learn how to enhance AI query capabilities and data accuracy through the application of LlamaIndex in retrieval-augmented generation processes.;['Retrieval-Augmented Generation (RAG)', 'LLaMA', 'Artificial Intelligence (AI)']
Natural-Language-Processing-nlp;Advanced LLMOps: Deploying and Managing LLMs in Production;2024-07-19;0;Learn advanced techniques and best practices for deploying and monitoring large language models in production environments.;['Large Language Model Operations (LLMOps)', 'System Deployment', 'Generative AI']
Natural-Language-Processing-nlp;Large Language Models: Text Classification for NLP using BERT;2022-06-03;19243;Learn about transformers, the go-to architecture for NLP and computer vision tasks.;['Transformer Models', 'Natural Language Processing (NLP)', 'BERT (Language Model)', 'Text Classification']
Natural-Language-Processing-nlp;Introduction to Large Language Models;2023-09-29;27795;Learn about large language models—what they are, what they can do, and how they work.;['Large Language Models (LLM)']
